"NomeItem";"Calibre";"DanoBase";"DanoBlindagem";"Penetracao";"Velocidade";"Precisao";"RecuoVertical";"RecuoHorizontal";"NivelPenetracao";"ChanceFerir";"FerimentoContuso"
"AP";".338";"90";"55";"64";"849";"+5";"-5";"-8";"6";"//////";"9.0"
"FMJ";".338";"94";"41";"54";"900";"+4";"-3";"-6";"5";"//////";"9.0"
"UPZ";".338";"110";"30";"42";"849";"+3";"0";"-1";"4";"//////";"9.0"
"JSP";".44";"67";"18";"42";"450";"+3";"+2";"+2";"4";"Low";"5.4"
"LFNP";".44";"98";"8";"23";"450";"+1";"+2";"+3";"2";"Medium";"5.4"
"SJHP";".44";"76";"13";"35";"434";"+2";"+1";"+1";"3";"Low";"5.4"
"AP";".45";"48";"11";"32";"299";"+3";"0";"-1";"3";"//////";"3.0"
"FMJ";".45";"54";"6";"19";"285";"+2";"+1";"+2";"1";"Low";"3.0"
"HS";".45";"58";"3";"11";"274";"+1";"+2";"+4";"1";"Medium";"3.0"
"Armor-Piercing Slug";"12x70mm";"163";"15";"35";"510";"+5";"-1";"-2";"3";"//////";"8.5"
"Dual Shell";"12x70mm";"86x2 (172)";"3";"19";"415";"+3";"-1";"-2";"1";"Medium";"4.3"
"Flechette Buckshot";"12x70mm";"25x8 (200)";"2";"33";"320";"+4";"-1";"-2";"3";"//////";"0.9"
"Grizzly Slug";"12x70mm";"187";"8";"11";"390";"+2";"+1";"+2";"1";"Medium";"8.2"
"GT Slug";"12x70mm";"201";"15";"27";"410";"+4";"+2";"+3";"2";"Low";"8.4"
"Led Slug";"12x70mm";"178";"9";"18";"370";"+3";"-1";"-2";"1";"Low";"8.9"
"RIP Slug";"12x70mm";"274";"15";"3";"410";"+1";"+2";"+4";"0";"High";"8.2"
"Type 5 Buckshot";"12x70mm";"36x8 (288)";"1";"1";"330";"+1";"+2";"+4";"0";"High";"1.1"
"Type 7 Buckshot";"12x70mm";"37x8 (296)";"1";"12";"415";"+2";"+1";"+2";"1";"Medium";"1.1"
"Type 8 Buckshot";"12x70mm";"43x8 (344)";"1";"4";"385";"+1";"+2";"+4";"0";"Medium";"0.9"
"PB";"5.45x39mm";"45";"17";"41";"890";"+4";"-1";"-2";"4";"//////";"2.8"
