"Arma";"Calibre";"nome da munição";"dano(alcance)"
"A545";"5.45x39mm";"BS";"47(48) | 33(51)"
"A545";"5.45x39mm";"HP";"80(48) | 56(51)"
"A545";"5.45x39mm";"PB";"52(48) | 36(51)"
"A545";"5.45x39mm";"PP";"51(48) | 36(51)"
"A545";"5.45x39mm";"PRS";"66(48) | 46(51)"
"A545";"5.45x39mm";"PS";"60(48) | 42(51)"
"ACE31";"7.62x39mm";"AP";"48(68) | 34(71)"
"ACE31";"7.62x39mm";"HP";"81(68) | 57(71)"
"ACE31";"7.62x39mm";"LP";"63(68) | 44(71)"
"ACE31";"7.62x39mm";"PB";"58(68) | 41(71)"
"ACE31";"7.62x39mm";"PS";"58(68) | 41(71)"
"ACE31";"7.62x39mm";"T45M";"63(68) | 44(71)"
"ACE31";"7.62x39mm";"US";"58(68) | 41(71)"
"AEK";"7.62x39mm";"AP";"46(65) | 32(68)"
"AEK";"7.62x39mm";"HP";"79(65) | 55(68)"
"AEK";"7.62x39mm";"LP";"61(65) | 43(68)"
"AEK";"7.62x39mm";"PB";"56(65) | 39(68)"
"AEK";"7.62x39mm";"PS";"56(65) | 39(68)"
"AEK";"7.62x39mm";"T45M";"61(65) | 43(68)"
"AEK";"7.62x39mm";"US";"56(65) | 39(68)"
"AK-102";"5.56x45mm";"FMJ Hunting";"53(57) | 37(60)"
"AK-102";"5.56x45mm";"HP Hunting";"69(57) | 48(60)"
"AK-102";"5.56x45mm";"M193";"52(57) | 36(60)"
"AK-102";"5.56x45mm";"M855";"50(57) | 35(60)"
"AK-102";"5.56x45mm";"M855A1";"44(57) | 31(60)"
"AK-102";"5.56x45mm";"M855A2";"48(57) | 34(60)"
"AK-102";"5.56x45mm";"M995";"41(57) | 29(60)"
"AK-12";"5.45x39mm";"BS";"44(64) | 31(67)"
"AK-12";"5.45x39mm";"HP";"77(64) | 54(67)"
"AK-12";"5.45x39mm";"PB";"49(64) | 34(67)"
"AK-12";"5.45x39mm";"PP";"48(64) | 34(67)"
"AK-12";"5.45x39mm";"PRS";"63(64) | 44(67)"
"AK-12";"5.45x39mm";"PS";"57(64) | 40(67)"
"AK 15SC";"7.62x39mm";"AP";"45(44) | 32(47)"
"AK 15SC";"7.62x39mm";"HP";"78(44) | 55(47)"
"AK 15SC";"7.62x39mm";"LP";"60(44) | 42(47)"
"AK 15SC";"7.62x39mm";"PB";"55(44) | 39(47)"
"AK 15SC";"7.62x39mm";"PS";"55(44) | 39(47)"
"AK 15SC";"7.62x39mm";"T45M";"60(44) | 42(47)"
"AK 15SC";"7.62x39mm";"US";"55(44) | 39(47)"
"AK-74N";"5.45x39mm";"BS";"40(48) | 28(51)"
"AK-74N";"5.45x39mm";"HP";"73(48) | 51(51)"
"AK-74N";"5.45x39mm";"PB";"45(48) | 32(51)"
"AK-74N";"5.45x39mm";"PP";"44(48) | 31(51)"
"AK-74N";"5.45x39mm";"PRS";"59(48) | 41(51)"
"AK-74N";"5.45x39mm";"PS";"53(48) | 37(51)"
"AKM";"7.62x39mm";"AP";"45(62) | 32(65)"
"AKM";"7.62x39mm";"HP";"78(62) | 55(65)"
"AKM";"7.62x39mm";"LP";"60(62) | 42(65)"
"AKM";"7.62x39mm";"PB";"55(62) | 39(65)"
"AKM";"7.62x39mm";"PS";"55(62) | 39(65)"
"AKM";"7.62x39mm";"T45M";"60(62) | 42(65)"
"AKM";"7.62x39mm";"US";"55(62) | 39(65)"
"AKS-74U";"5.45x39mm";"BS";"35(38) | 25(41)"
"AKS-74U";"5.45x39mm";"HP";"68(38) | 48(41)"
"AKS-74U";"5.45x39mm";"PB";"40(38) | 28(41)"
"AKS-74U";"5.45x39mm";"PP";"39(38) | 27(41)"
"AKS-74U";"5.45x39mm";"PRS";"54(38) | 38(41)"
"AKS-74U";"5.45x39mm";"PS";"48(38) | 34(41)"
"AMB-17";"9x39mm";"7N12";"52(43) | 36(46)"
"AMB-17";"9x39mm";"7N9";"58(43) | 41(46)"
"AMB-17";"9x39mm";"SP5";"66(43) | 46(46)"
"AMB-17";"9x39mm";"SP6";"55(43) | 39(46)"
"AN-94";"5.45x39mm";"BS";"44(67) | 31(70)"
"AN-94";"5.45x39mm";"HP";"77(67) | 54(70)"
"AN-94";"5.45x39mm";"PB";"49(67) | 34(70)"
"AN-94";"5.45x39mm";"PP";"48(67) | 34(70)"
"AN-94";"5.45x39mm";"PRS";"63(67) | 44(70)"
"AN-94";"5.45x39mm";"PS";"57(67) | 40(70)"
"AR-57";"5.7x28mm";"L191";"57(58) | 40(61)"
"AR-57";"5.7x28mm";"R37.F";"80(58) | 56(61)"
"AR-57";"5.7x28mm";"R37.X";"73(58) | 51(61)"
"AR-57";"5.7x28mm";"SS190";"49(58) | 34(61)"
"AR-57";"5.7x28mm";"SS197SR";"64(58) | 45(61)"
"AR-57";"5.7x28mm";"SS198";"45(58) | 32(61)"
"AUG";"5.56x45mm";"FMJ Hunting";"57(53) | 40(56)"
"AUG";"5.56x45mm";"HP Hunting";"73(53) | 51(56)"
"AUG";"5.56x45mm";"M193";"56(53) | 39(56)"
"AUG";"5.56x45mm";"M855";"54(53) | 38(56)"
"AUG";"5.56x45mm";"M855A1";"48(53) | 34(56)"
"AUG";"5.56x45mm";"M855A2";"52(53) | 36(56)"
"AUG";"5.56x45mm";"M995";"45(53) | 32(56)"
"Banshee";"5.7x28mm";"L191";"58(45) | 41(48)"
"Banshee";"5.7x28mm";"R37.F";"81(45) | 57(48)"
"Banshee";"5.7x28mm";"R37.X";"74(45) | 52(48)"
"Banshee";"5.7x28mm";"SS190";"50(45) | 35(48)"
"Banshee";"5.7x28mm";"SS197SR";"65(45) | 46(48)"
"Banshee";"5.7x28mm";"SS198";"46(45) | 32(48)"
"BM59";"7.62x51mm";"BPZ";"66(69) | 46(72)"
"BM59";"7.62x51mm";"M61";"49(69) | 34(72)"
"BM59";"7.62x51mm";"M62";"55(69) | 39(72)"
"BM59";"7.62x51mm";"M80";"62(69) | 43(72)"
"BM59";"7.62x51mm";"UN";"78(69) | 55(72)"
"CZ 52";"7.62x25mm";"AKBS";"54(18) | 38(21)"
"CZ 52";"7.62x25mm";"LRN";"60(18) | 42(21)"
"CZ 52";"7.62x25mm";"PS";"43(18) | 30(21)"
"CZ 52";"7.62x25mm";"Pst";"47(18) | 33(21)"
"CZ 52";"7.62x25mm";"PT";"51(18) | 36(21)"
"Deagle";".44";"JSP";"67(36) | 47(39)"
"Deagle";".44";"LFNP";"98(36) | 69(39)"
"Deagle";".44";"SJHP";"76(36) | 53(39)"
"F2000";"5.56x45mm";"FMJ Hunting";"55(55) | 39(58)"
"F2000";"5.56x45mm";"HP Hunting";"71(55) | 50(58)"
"F2000";"5.56x45mm";"M193";"54(55) | 38(58)"
"F2000";"5.56x45mm";"M855";"52(55) | 36(58)"
"F2000";"5.56x45mm";"M855A1";"46(55) | 32(58)"
"F2000";"5.56x45mm";"M855A2";"50(55) | 35(58)"
"F2000";"5.56x45mm";"M995";"43(55) | 30(58)"
"F57";"5.7x28mm";"L191";"57(23) | 40(26)"
"F57";"5.7x28mm";"R37.F";"80(23) | 56(26)"
"F57";"5.7x28mm";"R37.X";"73(23) | 51(26)"
"F57";"5.7x28mm";"SS190";"49(23) | 34(26)"
"F57";"5.7x28mm";"SS197SR";"64(23) | 45(26)"
"F57";"5.7x28mm";"SS198";"45(23) | 32(26)"
"FAL";"7.62x51mm";"BPZ";"64(58) | 45(61)"
"FAL";"7.62x51mm";"M61";"47(58) | 33(61)"
"FAL";"7.62x51mm";"M62";"53(58) | 37(61)"
