"NomeItem";"Peso";"Durabilidade";"ClasseBlindagem";"Material";"BloqueioSom";"PenalidadeMovimento";"Ergonomia";"AreaProtegida";"Ricochete";"TemHeadset";"CaptacaoSom";"ReducaoRuido";"Acessorio"
"03 Heavy Tactical Helmet";"2.10";"45.0";"5";"Composite";"/////";"-1%";"/////";"Head";"/////";"Sim";"/////";"/////";"Mask, TE"
"56K Helicopter Helmet";"2.20";"50.0";"4";"Aramid";"/////";"-6%";"-5";"Head, Ears, Face";"/////";"Sim";"Bad";"Bad";"/////"
"6B4 Helmet";"2.20";"30.0";"3";"Aramid";"/////";"-3%";"-2";"Head, Ears";"/////";"Sim";"/////";"/////";"TE"
"6B5 Helmet";"1.30";"35.0";"3";"Polyethylene";"/////";"-4%";"/////";"Head, Ears";"/////";"Sim";"/////";"/////";"TE"
"6BNT Helmet";"4.10";"75.0";"6";"Hardened Steel";"Severe";"-4%";"-9";"Head, Ears";"/////";"Nao";"/////";"/////";"Mask"
"AN95 Heavy Blast Helmet";"3.10";"55.0";"5";"Titanium";"/////";"-5%";"-5";"Head, Ears";"/////";"Sim";"Medium";"Strong";"Mask"
"AS200 Heavy Tactical Helmet";"1.60";"65.0";"6";"Polyethylene";"/////";"-7%";"/////";"Head, Ears";"/////";"Sim";"/////";"/////";"Mask"
"Aviator Helmet";"1.20";"20.0";"2";"Polyethylene";"Low";"/////";"/////";"Head, Ears";"/////";"Nao";"/////";"/////";"/////"
"DOD9 Blast Helmet";"3.50";"75.0";"6";"Composite";"Severe";"-8%";"-10";"Head, Ears, Face";"/////";"Nao";"/////";"/////";"/////"
"F70 Tactical Helmet";"1.40";"25.0";"3";"Composite";"/////";"-1%";"/////";"Head";"/////";"Sim";"/////";"/////";"Mask, TE"
"F80 Tactical Helmet";"2.00";"35.0";"4";"Aluminum";"/////";"-1%";"/////";"Head";"/////";"Sim";"/////";"/////";"TE"
"FA Assault Tactical Helmet";"2.10";"50.0";"5";"Composite";"/////";"-1%";"-2";"Head";"/////";"Sim";"/////";"/////";"/////"
"HG84 Offensive Helmet";"2.70";"70.0";"6";"Composite";"Moderate";"-4%";"-3";"Head, Ears";"/////";"Nao";"/////";"/////";"/////"
"IND Tactical Helmet (Snow)";"2.00";"35.0";"4";"Composite";"/////";"/////";"/////";"Head";"/////";"Sim";"/////";"/////";"Mask, TE"
"IND Tactical Helmet";"2.00";"35.0";"4";"Composite";"/////";"-1%";"/////";"Head";"/////";"Sim";"/////";"/////";"Mask, TE"
"IND200 Helmet";"2.20";"40.0";"4";"Composite";"/////";"-1%";"/////";"Head";"/////";"Sim";"/////";"/////";"Mask, TE"
"IND50 Heavy Tactical Helmet";"2.30";"60.0";"6";"Composite";"/////";"-1%";"-1";"Head";"/////";"Sim";"/////";"/////";"Mask, TE"
"IND70 Tactical Helmet";"2.10";"80.0";"6";"Polyethylene";"Low";"-10%";"-5";"Head, Ears, Face";"/////";"Nao";"/////";"/////";"/////"
"Kelsey Fire Helmet";"1.00";"10.0";"1";"Aramid";"/////";"/////";"/////";"Head";"/////";"Sim";"/////";"/////";"/////"
"KSS Tactical Helmet";"1.90";"40.0";"4";"Aluminum";"/////";"-1%";"/////";"Head";"/////";"Sim";"/////";"/////";"Mask, TE"
"KSS2 Tactical Helmet";"2.40";"45.0";"4";"Composite";"/////";"-3%";"/////";"Head, Ears";"/////";"Sim";"/////";"/////";"Mask, TE"
"Lightweight Safety Helmet";"1.00";"15.0";"1";"Aramid";"/////";"/////";"/////";"Head";"/////";"Sim";"/////";"/////";"/////"
"Motorcycle Helmet";"1.20";"15.0";"1";"Aramid";"/////";"/////";"/////";"Head, Ears";"/////";"Sim";"/////";"/////";"/////"
"PAS Standard Helmet";"3.20";"25.0";"2";"Aramid";"/////";"/////";"-3";"Head, Ears";"/////";"Sim";"/////";"/////";"/////"
"PAS2 Helmet";"2.80";"28.0";"3";"Hardened Steel";"/////";"-1%";"/////";"Head";"/////";"Sim";"/////";"/////";"/////"
"Retro Military Helmet";"2.60";"20.0";"2";"Hardened Steel";"/////";"/////";"/////";"Head";"/////";"Sim";"/////";"/////";"/////"
"Retro Steel Helmet";"2.60";"25.0";"2";"Hardened Steel";"/////";"/////";"/////";"Head";"/////";"Sim";"/////";"/////";"/////"
"RSP Heavy Tactical Helmet";"2.50";"55.0";"5";"Composite";"Low";"-4%";"-2";"Head, Ears";"/////";"Nao";"/////";"/////";"Mask, TE"
"RST Special Forces Helmet";"2.60";"75.0";"6";"Aluminum";"Moderate";"-6%";"-10";"Head, Ears";"/////";"Nao";"/////";"/////";"Mask"
"Security Helmet";"1.10";"20.0";"2";"Polyethylene";"/////";"/////";"/////";"Head";"/////";"Sim";"/////";"/////";"/////"
"Security Riot Helmet";"1.20";"22.0";"2";"Polyethylene";"Low";"/////";"/////";"Head, Ears";"/////";"Nao";"/////";"/////";"/////"
"SH Matzka 2 Helmet";"3.90";"65.0";"5";"Hardened Steel";"Severe";"-4%";"-10";"Head, Ears";"/////";"Nao";"/////";"/////";"Mask"
"SH12 Military Helmet";"3.40";"30.0";"3";"Hardened Steel";"/////";"-2%";"-6";"Head, Ears";"/////";"Sim";"Medium";"Medium";"/////"
"SH18 Military Helmet";"2.90";"45.0";"4";"Titanium";"Low";"-4%";"-2";"Head, Ears";"/////";"Nao";"/////";"/////";"/////"
"SH40 Military Helmet";"3.60";"50.0";"4";"Hardened Steel";"Moderate";"-3%";"-4";"Head, Ears";"/////";"Nao";"/////";"/////";"Mask"
"SH50 Military Helmet";"3.20";"60.0";"5";"Hardened Steel";"Low";"-4%";"-7";"Head, Ears";"/////";"Nao";"/////";"/////";"Mask"
"SH60 Military Helmet";"3.20";"50.0";"5";"Composite";"Low";"-3%";"-9";"Head, Ears";"/////";"Nao";"/////";"/////";"Mask"
"SH65 Military Helmet";"3.70";"55.0";"6";"Composite";"Low";"-4%";"-7";"Head, Ears";"/////";"Nao";"/////";"/////";"Mask, TE"
