"NomeItem";"Peso";"Durabilidade";"ClasseBlindagem";"Material";"Ricochete"
"6BNT Blast Mask";"2.30";"70.0";"6";"Hardened Steel";"/////"
"AN95 Military";"1.40";"50.0";"4";"Glass";"/////"
"DK5 Universal Bulletproof Mask";"1.20";"40.0";"2";"Glass";"/////"
"DK6 Security Ballistic Mask";"1.00";"45.0";"3";"Glass";"/////"
"DK7 Premium Bulletproof Mask";"1.80";"50.0";"4";"Glass";"/////"
"DK8 Military Bulletproof Mask";"1.00";"45.0";"4";"Glass";"/////"
"RST Special Forces Mask";"1.40";"70.0";"6";"Aluminum";"/////"
"SH Matzka Mask";"2.00";"50.0";"5";"Hardened Steel";"/////"
"SH Universal Bulletproof Mask";"0.70";"30.0";"3";"Glass";"/////"
"SH60 Mask";"1.50";"35.0";"4";"Composite";"/////"
"SH65 Military Mask A";"0.70";"55.0";"5";"Glass";"/////"
"SH65 Military Mask B";"0.80";"65.0";"6";"Composite";"/////"
