"NomeItem";"DelayExplosao";"Alcance";"DanoBlindagem";"Penetracao";"Fragmentos";"TipoFragmento";"TempoEfeito"
"GHO 2 Offensive Grenade";"5.0 - 6.0";"Standard";"/////";"/////";"/////";"/////";"0.0"
"GLI-F4 Tear Gas";"2.0 - 2.5";"Large";"/////";"/////";"/////";"/////";"50.0"
"M18 Smoke Grenade";"2.0 - 2.5";"Very Large";"/////";"/////";"/////";"/////";"30.0"
"M67 Frag Grenade";"5.0 - 6.0";"Large";"Standard";"Standard";"Large";"Steel Piece";"0.0"
"M84 Flashbang ";"2.5 - 3.0";"Large";"/////";"/////";"/////";"/////";"0.0"
"Mk 2 Frag Grenade";"5.0 - 6.0";"Large";"Mid-High";"Mid-High";"Small";"Iron Piece";"0.0"
"Molotov Cocktail";"0.0 - 0.0";"Large";"/////";"/////";"/////";"/////";"15.0"
"Z3 Stun Grenade";"2.5 - 3.0";"Standard";"/////";"/////";"/////";"/////";"0.0"
"Downed Emergency Smoke Grenade";"2.0 - 2.5";"Standard";"/////";"/////";"/////";"/////";"30.0"
"M290 Stun Granade";"2.5 - 3.0";"Standard";"/////";"/////";"/////";"/////";"0.0"
"Improved Multi-Burst Flashbang";"2.5 - 3.0";"Large";"/////";"/////";"/////";"/////";"0.0"
"Experimental Shock Grenade";"0.0 - 0.0";"Small";"/////";"/////";"/////";"/////";"3.0"
