"NomeItem";"Classe";"Calibre";"RecuoVertical";"RecuoHorizontal";"Ergonomia";"Precisao";"EstabilidadeHipFire";"Alcance";"VelocidadeBocal";"ModoDisparo";"Cadencia";"PoderFogo";"TipoCano";"EstabilidadeArma"
"ACE31";"ASSAULT RIFLE";"7.62x39mm";"50";"31";"59";"48";"74";"66";"800";"Semi, Full";"650";"Medium";"D+ R+";"48"
"AEK";"ASSAULT RIFLE";"7.62x39mm";"57";"38";"63";"42";"70";"65";"800";"Semi, Full";"800";"Medium";"FB D+";"48"
"AK-102";"ASSAULT RIFLE";"5.56x45mm";"67";"50";"50";"38";"77";"57";"850";"Semi, Full";"600";"Medium";"Default";"50"
"AK-12";"ASSAULT RIFLE";"5.45x39mm";"69";"50";"60";"43";"79";"64";"880";"3-RB, Semi, Full";"730";"Mid-High";"FB D+";"47"
"AK-74N";"ASSAULT RIFLE";"5.45x39mm";"60";"47";"48";"39";"71";"48";"900";"Semi, Full";"550";"Medium";"Default";"52"
"AKM";"ASSAULT RIFLE";"7.62x39mm";"50";"47";"44";"38";"71";"62";"715";"Semi, Full";"600";"Medium";"Default";"50"
"AKS-74U";"ASSAULT RIFLE";"5.45x39mm";"52";"36";"44";"29";"72";"38";"735";"Semi, Full";"500";"Low";"FB D-";"50"
"AN-94";"ASSAULT RIFLE";"5.45x39mm";"60";"44";"59";"72";"75";"67";"900";"2-RB, Semi, Full";"680";"Mid-High";"FB D+";"48"
"AR-57";"ASSAULT RIFLE";"5.7x28mm";"69";"55";"57";"41";"69";"58";"800";"Semi, Full";"850";"Mid-High";"FB D+";"50"
"AUG";"ASSAULT RIFLE";"5.56x45mm";"77";"69";"68";"59";"81";"53";"970";"Semi, Full";"750";"High";"FB D+";"51"
"BM59";"CARBINE";"7.62x51mm";"34";"25";"48";"60";"46";"69";"823";"Semi";"300";"Medium";"FB D-";"55"
"CZ 52";"PISTOL";"7.62x25mm";"55";"26";"77";"13";"61";"18";"500";"Semi";"325";"Low";"FBNMD-";"48"
"Deagle";"PISTOL";".44";"40";"24";"65";"30";"58";"36";"470";"Semi";"300";"Medium";"FBNM";"46"
"F2000";"ASSAULT RIFLE";"5.56x45mm";"80";"74";"67";"39";"83";"55";"900";"Semi, Full";"850";"Mid-High";"FB D+";"51"
"F57";"PISTOL";"5.7x28mm";"60";"25";"83";"22";"62";"23";"650";"Semi";"400";"Mid-High";"CustomD+";"53"
"FAL";"ASSAULT RIFLE";"7.62x51mm";"57";"48";"43";"42";"57";"58";"820";"Semi, Full";"630";"Mid-Low";"Default -";"48"
"G-Deagle";"PISTOL";".44";"66";"35";"88";"30";"58";"36";"470";"Semi";"300";"Medium";"FBNM";"46"
"G17";"PISTOL";"9x19mm";"56";"23";"73";"15";"65";"16";"375";"Semi";"400";"Low";"CustomD-";"51"
"G18C";"PISTOL";"9x19mm";"57";"24";"73";"16";"65";"14";"375";"Semi, Full";"1000";"Low";"FBNMD-";"43"
"G3";"ASSAULT RIFLE";"7.62x51mm";"54";"29";"53";"38";"65";"45";"790";"Semi, Full";"460";"Medium";"D+ R+ WD-";"47"
"HK416";"ASSAULT RIFLE";"5.56x45mm";"72";"51";"73";"39";"74";"37";"910";"Semi, Full";"860";"Mid-High";"D+ R+ WD+";"48"
"M110";"MARKSMAN RIFLE";"7.62x51mm";"58";"51";"58";"91";"48";"91";"783";"Semi";"300";"Mid-High";"R+ WD+";"66"
"M14";"CARBINE";"7.62x51mm";"44";"39";"45";"76";"61";"73";"853";"Semi";"350";"Mid-High";"R+ WD+";"63"
"M16";"CARBINE";"5.56x45mm";"64";"39";"53";"43";"72";"84";"875";"Semi, 3-RB";"660";"Mid-High";"D+ R+ WD+";"48"
"M1911";"PISTOL";".45";"54";"26";"77";"14";"63";"18";"251";"Semi";"350";"Mid-High";"CustomD+";"51"
"M24";"BOLT-ACTION RIFLE";"7.62x51mm";"7";"12";"39";"90";"10";"120";"853";"Bolt-Action";"30";"High";"FB D+";"68"
"M3A1";"SUBMACHINE GUN";".45";"68";"50";"60";"19";"60";"39";"274";"Full";"450";"Mid-Low";"FBNMD-";"40"
"M45A1";"PISTOL";".45";"58";"28";"84";"15";"76";"14";"310";"Semi";"250";"Mid-High";"CustomD+";"50"
"M4A1";"ASSAULT RIFLE";"5.56x45mm";"71";"55";"57";"41";"72";"56";"900";"Semi, Full";"750";"Mid-High";"D+ R+";"50"
"M870";"SHOTGUN";"12x70mm";"14";"15";"44";"9";"50";"14";"403";"Pump-Action";"70";"High";"D+ R+ WD+";"43"
"M96";"CARBINE";"5.56x45mm";"59";"35";"50";"55";"60";"66";"960";"3-RB";"400";"Mid-High";"FB D+";"60"
"M9A3";"PISTOL";"9x19mm";"46";"27";"81";"14";"61";"20";"372";"Semi";"600";"Low";"FB D-";"50"
"MAC-10";"SUBMACHINE GUN";".45";"70";"50";"74";"25";"72";"38";"366";"Semi, Full";"745";"Medium";"R+";"41"
"MCX";"ASSAULT RIFLE";"5.56x45mm";"77";"69";"80";"30";"71";"40";"820";"Semi, Full";"700";"Mid-High";"FB D+";"46"
"MDR";"ASSAULT RIFLE";"5.56x45mm";"75";"25";"66";"42";"74";"59";"960";"Semi, Full";"700";"High";"R+ WD+";"58"
"Mini14";"CARBINE";"5.56x45mm";"72";"52";"60";"70";"55";"77";"990";"Semi";"400";"High";"FB D+";"67"
